Element,Start Time,End Time
C,2017-07-14 03:00:00.155519,2017-07-16 05:59:59.909276
C,2017-07-25 06:59:59.925118,2017-07-30 23:00:00.109442
C,2017-09-04 20:00:00.070562,2017-09-08 10:59:59.854562
C,2017-09-10 07:00:00.136803,2017-09-12 22:00:00.110878
C,2017-09-13 02:59:59.913597,2017-09-14 16:59:59.928001
C,2017-09-16 21:59:59.981282,2017-09-21 00:59:59.985600
C,2020-11-29 10:04:35.320799,2020-12-04 10:44:45.297600
C,2020-12-07 02:34:15.647517,2020-12-08 16:28:01.960321
C,2021-05-28 21:59:59.951040,2021-05-29 12:00:00.155519
C,2021-07-09 21:00:00.017278,2021-07-10 16:00:00.024476
C,2021-10-28 23:00:00.031680,2021-11-04 03:00:00.120959
C,2021-11-09 22:59:59.958240,2021-11-11 12:59:59.972636
C,2022-01-20 06:59:59.959677,2022-01-21 03:59:59.951043
C,2022-04-02 13:59:59.936641,2022-04-04 22:00:00.123837
C,2022-04-29 11:59:59.866078,2022-04-30 19:59:59.928001
C,2022-05-11 22:00:00.028796,2022-05-12 15:00:00.051841
C,2022-06-14 09:00:00.133916,2022-06-15 08:59:59.943841
C,2022-07-09 13:59:59.915042,2022-07-11 18:59:59.968323
C,2022-08-27 06:00:00.125276,2022-08-28 09:00:00.069123
C,2022-08-29 04:00:00.076321,2022-08-30 12:59:59.972642
C,2022-09-10 02:59:59.853118,2022-09-11 02:00:00.144001
C,2022-09-11 18:59:59.851682,2022-09-20 13:00:00.080638
C,2022-09-20 15:00:00.064799,2022-09-23 06:59:59.873279
C,2022-09-24 05:59:59.848798,2022-09-24 20:00:00.053278
C,2022-09-25 05:00:00.139681,2022-09-28 21:00:00.073443
C,2022-09-29 03:59:59.860322,2022-09-29 18:59:59.899200
C,2022-09-30 05:00:00.135358,2022-09-30 19:59:59.858879
C,2022-10-01 18:00:00.000000,2022-10-02 14:59:59.991358
C,2022-10-02 22:59:59.927999,2022-10-04 03:00:00.021601
C,2023-01-09 21:59:59.881920,2023-01-10 23:59:59.991361
C,2023-01-13 03:59:59.894880,2023-01-13 20:00:00.083519
C,2023-01-20 12:59:59.912158,2023-01-21 01:59:59.966883
C,2023-02-25 18:59:59.959682,2023-02-27 08:59:59.974078
C,2023-02-27 18:59:59.894880,2023-02-28 17:59:59.870399
C,2023-03-13 08:00:00.001437,2023-03-15 09:00:00.086397
C,2023-03-15 22:59:59.975520,2023-03-23 07:59:59.992798
C,2023-04-22 05:59:59.982722,2023-04-23 23:59:59.965439
C,2023-05-08 02:00:00.126721,2023-05-09 20:00:00.109438
C,2023-05-09 22:59:59.927997,2023-05-11 10:00:00.123841
C,2023-07-15 18:00:00.004321,2023-07-17 08:59:59.853123
C,2023-07-17 21:00:00.073441,2023-07-19 21:00:00.008640
C,2023-07-21 13:00:00.007196,2023-07-22 04:00:00.046081
C,2023-07-25 04:59:59.940958,2023-07-30 17:00:00.156961
C,2023-07-31 16:00:00.132480,2023-08-01 21:59:59.894878
C,2023-08-04 12:59:59.868961,2023-08-05 05:00:00.057600
C,2023-08-05 09:59:59.860319,2023-08-10 18:59:59.942400
C,2023-08-11 19:00:00.067681,2023-08-14 14:00:00.010077
C,2023-09-01 02:00:00.152640,2023-09-02 09:59:59.899198
C,2023-09-03 04:00:00.071998,2023-09-05 13:00:00.093600
C,2023-09-13 06:59:59.881918,2023-09-14 18:59:59.912161
C,2023-09-17 13:00:00.020159,2023-09-18 11:59:59.995678
C,2023-09-24 03:00:00.030240,2023-09-24 22:59:59.871836
C,2023-11-09 17:00:00.005759,2023-11-11 01:00:00.067681
C,2023-12-14 22:59:59.928001,2023-12-17 00:59:59.847359
C,2023-12-25 23:59:59.879041,2023-12-26 12:59:59.933759
C,2023-12-31 22:00:00.015839,2024-01-05 19:40:59.054881
C,2024-01-05 21:40:39.486721,2024-01-08 01:32:07.876322
C,2024-01-08 04:31:38.366403,2024-01-09 01:28:11.796959
C,2024-01-10 16:21:48.167997,2024-01-11 18:17:32.520480
C,2024-01-21 23:37:12.707041,2024-01-22 22:33:26.569436
C,2024-01-23 22:29:30.490080,2024-01-24 23:25:24.468958
C,2024-01-29 02:09:10.956962,2024-01-30 00:05:34.445759
C,2024-01-31 08:00:19.778403,2024-02-03 13:47:32.520480
C,2024-02-06 02:37:32.380316,2024-02-07 01:33:46.242718
C,2024-02-09 02:25:44.142240,2024-02-11 05:17:22.473600
C,2024-02-12 02:13:56.219520,2024-02-14 22:02:47.117758
C,2024-02-17 23:50:39.311521,2024-02-20 15:40:09.976801
C,2024-02-20 21:39:10.956962,2024-02-21 11:36:53.033759
C,2024-02-23 04:30:09.836637,2024-02-25 00:22:57.129602
C,2024-03-15 02:07:42.427196,2024-03-17 12:58:01.855200
C,2024-03-18 03:55:34.305602,2024-03-18 23:52:17.677917
C,2024-03-22 21:36:53.244002,2024-03-24 22:28:51.143523
Fe,2017-07-14 05:00:00.139680,2017-07-15 19:00:00.154083
Fe,2017-09-05 00:00:00.038883,2017-09-05 11:59:59.943838
Fe,2017-09-06 10:59:59.919356,2017-09-08 10:00:00.020156
Fe,2017-09-10 11:00:00.105116,2017-09-12 11:59:59.874720
Fe,2017-09-15 05:59:59.982718,2017-09-19 14:59:59.939518
Fe,2021-07-09 21:59:59.851676,2021-07-10 08:59:59.922240
Fe,2021-10-28 19:00:00.063360,2021-10-31 14:00:00.005763
Fe,2022-01-20 06:00:00.125279,2022-01-21 01:59:59.966883
Fe,2022-03-21 08:00:00.057600,2022-03-21 23:00:00.096478
Fe,2022-04-02 13:00:00.102243,2022-04-03 06:59:59.959679
Fe,2022-08-27 08:00:00.109437,2022-08-27 23:59:59.982719
Fe,2022-10-01 19:00:00.149762,2022-10-04 03:59:59.855999
Fe,2023-02-25 18:59:59.959682,2023-02-26 19:59:59.919361
Fe,2023-03-13 17:00:00.087841,2023-03-14 08:59:59.961116
Fe,2023-05-09 20:00:00.109438,2023-05-11 05:00:00.005759
Fe,2023-07-15 12:00:00.051840,2023-07-17 13:59:59.971198
Fe,2023-07-17 23:59:59.892000,2023-07-19 15:00:00.056158
Fe,2023-07-28 14:59:59.922239,2023-07-30 06:59:59.920803
Fe,2023-08-05 07:59:59.876159,2023-08-07 06:00:00.142561
Fe,2023-08-07 10:59:59.945280,2023-08-10 18:00:00.108002
Fe,2023-09-01 04:00:00.136800,2023-09-02 01:59:59.962557
Fe,2023-12-01 22:00:00.041762,2023-12-02 07:00:00.128159
Fe,2023-12-15 08:00:00.014397,2023-12-16 10:00:00.123839
Fe,2024-01-03 11:50:09.801601,2024-01-04 07:46:53.173916
Fe,2024-01-29 03:09:01.015196,2024-01-30 01:05:24.504000
Fe,2024-02-06 02:37:32.380316,2024-02-06 18:34:55.204316
Fe,2024-02-09 11:24:15.612481,2024-02-11 03:17:42.357118
Fe,2024-02-11 22:14:35.355842,2024-02-14 03:05:54.119041
Fe,2024-02-15 07:01:18.587999,2024-02-18 08:49:10.781762
Fe,2024-03-15 03:07:32.485437,2024-03-15 17:05:14.877598
Fe,2024-03-22 23:36:33.360477,2024-03-24 13:30:19.673282
Fe,2024-03-25 16:25:54.083998,2024-03-26 20:21:18.552957
He,2017-01-01 15:59:59.873282,2017-01-08 22:00:00.072002
He,2017-01-09 19:00:00.063361,2017-01-16 20:00:00.143998
He,2017-01-17 10:00:00.033121,2017-01-18 09:59:59.843038
He,2017-01-29 19:00:00.046077,2017-02-11 06:59:59.877598
He,2017-02-11 21:00:00.082077,2017-02-16 23:59:59.896320
He,2017-03-05 19:00:00.015838,2017-03-14 16:00:00.063360
He,2017-03-21 23:59:59.930876,2017-03-22 20:00:00.087836
He,2017-03-23 15:59:59.929440,2017-03-27 07:00:00.028796
He,2017-04-01 12:59:59.976962,2017-04-05 15:59:59.981280
He,2017-04-06 01:00:00.067677,2017-04-09 15:00:00.017278
He,2017-04-21 14:00:00.109439,2017-04-24 18:59:59.972637
He,2017-06-15 14:00:00.061916,2017-06-20 20:59:59.844480
He,2017-06-28 12:00:00.129596,2017-07-04 05:00:00.148318
He,2017-07-04 17:00:00.053280,2017-07-09 15:59:59.899203
He,2017-07-13 22:00:00.037436,2017-07-16 11:59:59.861757
He,2017-07-17 17:00:00.105121,2017-07-20 00:00:00.142562
He,2017-07-20 00:59:59.976960,2017-08-01 15:59:59.942397
He,2017-08-02 01:59:59.863199,2017-08-06 00:59:59.899197
He,2017-08-07 01:59:59.858876,2017-08-14 02:59:59.939520
He,2017-08-17 10:00:00.102243,2017-08-22 02:59:59.995677
He,2017-08-22 06:00:00.129599,2017-08-29 19:59:59.949597
He,2017-08-30 07:00:00.020161,2017-09-01 12:00:00.073441
He,2017-09-04 16:59:59.936639,2017-09-08 12:00:00.004317
He,2017-09-08 17:59:59.956798,2017-09-14 10:59:59.975520
He,2017-09-16 23:59:59.965442,2017-09-28 04:59:59.884796
He,2017-09-29 01:00:00.041756,2017-10-08 08:59:59.844478
He,2017-10-10 22:59:59.984163,2017-10-15 17:00:00.027359
He,2017-10-15 19:00:00.011519,2017-10-19 14:00:00.079196
He,2017-11-07 09:59:59.968317,2017-11-14 07:59:59.915039
He,2018-02-12 05:59:59.853117,2018-02-14 08:59:59.922237
He,2018-02-28 19:59:59.854559,2018-03-04 10:00:00.119517
He,2018-08-27 08:00:00.109437,2018-08-30 16:00:00.106557
He,2018-08-30 16:59:59.940962,2018-09-02 17:00:00.001441
He,2019-02-26 17:59:59.935200,2019-03-03 09:59:59.994236
He,2019-03-08 06:00:00.021600,2019-03-11 08:59:59.900637
He,2019-03-20 11:00:00.066242,2019-03-22 05:00:00.048959
He,2019-04-20 04:59:59.897762,2019-04-23 08:59:59.926562
He,2019-05-04 07:00:00.059037,2019-05-07 22:59:59.992798
He,2019-07-06 15:00:00.004318,2019-09-10 11:59:59.939522
He,2020-04-05 21:41:38.506560,2020-07-14 19:07:32.380316
He,2020-08-14 19:05:14.667363,2020-08-21 22:37:02.975518
He,2020-10-17 17:52:57.024481,2020-10-19 12:45:53.943842
He,2020-11-29 03:05:44.282397,2020-12-04 19:43:16.767842
He,2020-12-06 17:35:44.177283,2020-12-08 20:27:22.508643
He,2020-12-09 06:25:44.352482,2020-12-10 08:21:28.389601
