Event ID,Element,Duration,Max Flux,Initial Decay Rate,Average Decay Rate,Time to Peak,Peak Prominence,Number of Peaks,Skewness,Kurtosis,Std Flux,Median Flux,Normalized Time to Peak,Decay Rate 25%,Decay Rate 50%,Decay Rate 75%,Avg Decay Percentages,Target Label
42,5,48,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
302,0,145,3.8141e-05,-4.6954166666666667e-07,0.0,16,3.8141e-05,18,2.74092809064754,8.257180242470113,6.689371894487593e-06,0.0,0.1103448275862069,-1.566096551724138e-07,0.0,0.0,-5.22032183908046e-08,1
284,3,72,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
312,2,96,0.00079223,-1.4449166666666665e-05,2.77028125e-06,1,0.000765266,33,0.6147811993594803,-0.28763117341195077,0.0001944411470792808,0.00028447499999999996,0.010416666666666666,-1.4449166666666665e-05,-2.439583333333335e-07,1.261111111111113e-07,-4.8556712962962955e-06,0
204,4,48,3.7486e-06,0.0,0.0,38,3.7486e-06,2,4.594370859362263,19.1317060309472,7.275700603793539e-07,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0
284,1,72,2.0979e-06,0.0,0.0,48,2.0979e-06,1,8.307471607356971,67.01408450704224,2.4551693901592613e-07,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0
25,3,72,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67,2,96,0.00078962,1.5175000000000003e-06,-6.465625000000001e-07,73,0.000699056,33,0.9813879662953203,1.3581118901423466,0.00012328876829098383,0.00031326,0.7604166666666666,1.5175000000000003e-06,1.0852083333333338e-06,-1.3322222222222221e-06,4.234953703703706e-07,0
267,2,48,0.92651,-0.007747010416666666,-8.0809375e-05,16,0.92631559,8,2.0208484171083585,4.218919102816218,0.21162345999877952,0.09733649999999999,0.3333333333333333,-0.039690687499999995,-0.007747010416666666,-0.00021443472222222224,-0.01588404421296296,1
217,0,144,0.00043059,-1.7395833333333333e-06,0.0,13,0.00043059,14,4.147723914988201,17.581849449191427,7.151298117892354e-05,0.0,0.09027777777777778,-2.605166666666667e-07,0.0,0.0,-8.68388888888889e-08,1
299,4,217,0.0010887,-3.8903500000000005e-05,9.87373271889401e-08,25,0.0010887,55,2.6567549341450696,6.788875775906503,0.00021162936531341864,8.405e-06,0.1152073732718894,-1.7204423963133642e-06,8.158525345622121e-08,1.0742304147465439e-07,-5.104780337941628e-07,1
303,2,361,5.8005,-0.072847175,9.512049861495846e-06,31,5.8005,114,5.851929042477668,38.12739106867118,0.6753862515628356,0.00093428,0.08587257617728532,-3.5953462603878116e-05,1.44792243767313e-05,1.2068365650969528e-05,-3.1352908587257623e-06,1
117,3,49,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,0,73,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2,192,5.2056,0.0049058750000000005,0.0007665225052083335,14,5.2056,61,8.242298915016086,74.25387331293003,0.48972872223448854,0.00193775,0.07291666666666667,0.0028513333333333338,0.001513354166666667,0.0010207265277777779,0.0017951380092592593,1
38,5,48,6.6486e-06,2.6890000000000003e-07,1.3445000000000002e-07,21,6.6486e-06,7,1.8141871155572775,2.3415501262478653,1.7467669414948595e-06,0.0,0.4375,5.378000000000001e-07,2.6890000000000003e-07,1.7926666666666667e-07,3.2865555555555557e-07,0
193,1,96,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,3,143,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
217,2,144,1.4699,-0.016227634583333334,1.9226388888888887e-06,13,1.469877514,39,3.966407642290605,19.111480478235723,0.19773532424789692,0.0024574,0.09027777777777778,-0.0012429508333333334,-0.00010011986111111112,2.9498148148148146e-06,-0.00044670695987654327,1
303,3,361,0.00032668,-5.9141666666666675e-06,0.0,10,0.00032668,35,4.090952177980809,17.216318860274118,4.549841224664854e-05,0.0,0.027700831024930747,0.0,-2.5290858725761773e-08,0.0,-8.43028624192059e-09,1
311,4,48,7.1929e-06,0.0,0.0,4,7.1929e-06,2,4.587549287692504,19.046382991451043,1.429569564393459e-06,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0
72,4,48,4.2421e-06,0.0,-8.837708333333332e-08,47,3.9993e-06,1,4.594105041448101,19.128381953406258,8.237970884260915e-07,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0
264,3,72,2.4864e-05,-1.0360000000000001e-06,-3.058333333333333e-07,24,2.4864e-05,18,1.221760961727064,0.9668433240051524,6.000653741830962e-06,0.0,0.3333333333333333,-4.119055555555556e-07,-4.3333333333333335e-07,0.0,-2.817462962962963e-07,1
313,1,96,0.0023594,-3.794333333333333e-05,0.0,19,0.0023594,22,3.416566074841,10.738822731786636,0.0004979108003629188,5.3936e-06,0.19791666666666666,-3.794333333333333e-05,-3.5747916666666664e-07,0.0,-1.27669375e-05,1
303,4,361,0.0045293,-9.904970833333332e-05,7.813573407202216e-08,10,0.0045293,53,3.687901919145182,12.772622512441218,0.0007561151220505711,0.0,0.027700831024930747,2.1226592797783932e-07,1.5627146814404432e-07,1.0418097876269622e-07,1.575727916281933e-07,1
55,5,72,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
299,1,217,9.1412e-05,-3.0710125000000004e-06,3.438110599078341e-08,23,9.1412e-05,41,3.5873967715304733,15.552057214827279,1.3208521027183129e-05,0.0,0.10599078341013825,-1.0336036866359444e-07,-2.17235023041474e-09,4.584147465437788e-08,-1.9897081413210434e-08,1
262,5,120,0.00049591,-3.180833333333333e-06,1.2484166666666667e-06,8,0.00049591,26,1.8573293918519225,2.5157852969271657,0.00011071688439450404,0.0,0.06666666666666667,3.8109000000000002e-06,2.4968333333333334e-06,1.6645555555555555e-06,2.6574296296296296e-06,1
144,3,168,0.00014081,-3.4505833333333333e-06,0.0,23,0.00014081,33,2.357846984973264,4.708725315799811,3.05746249922771e-05,0.0,0.13690476190476192,-1.6841904761904763e-07,0.0,-5.0555555555555556e-08,-7.29915343915344e-08,1
298,2,48,0.92357,0.019255958333333333,0.011061270833333333,8,0.895021,17,0.33621997738056786,-1.5175108052644386,0.29604493821916134,0.20871499999999998,0.16666666666666666,0.0035650000000000035,0.019255958333333333,0.013643861111111112,0.012154939814814816,1
239,3,120,5.6564e-05,1.8125e-06,3.625e-07,3,5.6564e-05,11,3.4312038424451448,12.161543014280912,9.690988287626605e-06,0.0,0.025,1.45e-06,7.25e-07,4.833333333333333e-07,8.861111111111113e-07,1
298,3,48,0.00039717,4.248333333333334e-06,2.7679375e-06,1,0.00039717,13,0.6228734050377004,-1.0337531092410424,0.00012532956187185132,7.0711e-05,0.020833333333333332,-2.6175e-06,4.248333333333334e-06,3.946944444444444e-06,1.8592592592592595e-06,1
298,1,48,0.00051346,1.752525e-05,9.6059375e-06,2,0.0005090493,13,0.5850469171332487,-1.1356004487567208,0.0001724503850687408,0.00010455300000000001,0.041666666666666664,1.657e-05,1.752525e-05,1.2538694444444445e-05,1.5544648148148148e-05,1
311,4,48,7.9933e-06,0.0,0.0,9,7.9933e-06,1,6.709789608903156,43.0212765957447,1.1416521649455343e-06,0.0,0.1875,0.0,0.0,0.0,0.0,0
56,1,143,2.5429e-06,1.0595416666666666e-07,1.7782517482517483e-08,0,2.3993e-06,1,8.288249982012,66.7569120988374,2.903117967041462e-07,0.0,0.0,7.113006993006993e-08,3.5565034965034965e-08,2.371002331002331e-08,4.346837606837607e-08,0
5,1,96,2.3657e-06,0.0,0.0,23,2.3657e-06,1,9.644196509600453,91.01052631578956,2.4018741022411e-07,0.0,0.23958333333333334,0.0,0.0,0.0,0.0,0
239,0,120,0.00010116,1.9684166666666668e-06,4.808416666666667e-07,1,0.00010116,13,3.391190736733202,12.145819959576952,1.728733549234646e-05,0.0,0.008333333333333333,1.7544866666666666e-06,9.616833333333333e-07,6.411222222222223e-07,1.1190974074074074e-06,1
117,0,49,7.5143e-06,0.0,0.0,44,7.5143e-06,2,4.648596856284079,19.633642456965582,1.4439000827029738e-06,0.0,0.8979591836734694,0.0,0.0,0.0,0.0,0
267,4,48,0.00016517,-7.309583333333334e-07,0.0,17,0.00016517,11,2.168435340920346,6.471200352449998,3.134964832651192e-05,1.69605e-05,0.3541666666666667,-2.42025e-06,-7.309583333333334e-07,0.0,-1.0504027777777778e-06,1
70,5,72,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,3,49,3.4571e-06,0.0,0.0,19,3.4571e-06,1,6.783865662978103,44.020833333333336,4.888059466813359e-07,0.0,0.3877551020408163,0.0,0.0,0.0,0.0,0
193,0,96,9.2429e-06,0.0,0.0,6,9.2429e-06,4,4.592222459263135,19.104215548147867,1.8154576757367528e-06,0.0,0.0625,0.0,0.0,0.0,0.0,0
262,4,120,0.00031034,1.996125e-06,8.3825e-07,13,0.00031034,25,2.0190952286451855,2.910155487322873,7.936316059478085e-05,0.0,0.10833333333333334,2.347533333333333e-06,1.6765e-06,1.1176666666666667e-06,1.7138999999999998e-06,1
3,3,288,0.0011419,1.0712083333333332e-05,1.8904166666666666e-06,6,0.0011419,33,3.3432781747785367,10.369979602849003,0.00021711003746353806,0.0,0.020833333333333332,7.5616666666666665e-06,3.7808333333333333e-06,2.5205555555555557e-06,4.621018518518519e-06,1
70,1,72,0.0,0.0,0.0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
