Event ID,Element,Energy Level,Flux Time Series,Target Label
42,Si,2,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
302,C,4,"[-1.         -1.          0.68333378  0.69280743  0.79703752  0.68567918
  0.85365371  0.86798838  0.80190685  0.80334275  0.80832952  0.94694734
  0.94657969  0.70238773  0.86444131  0.91489919  1.          0.86649459
  0.87083073  0.80513704  0.6980864   0.81522161  0.97520287 -1.
  0.810261    0.87516767  0.69929976  0.81441695 -1.          0.70800522
  0.69717227 -1.          0.87194029  0.70440741 -1.         -1.
  0.7035654  -1.          0.69194734  0.700582   -1.          0.6895633
  0.69887659  0.68894121 -1.         -1.         -1.         -1.
 -1.          0.79991243 -1.         -1.          0.68692572 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.68600787 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.68666621 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.69223948 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]",1
284,N,2,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
312,He,2,"[ 0.46528946  1.          0.58662309  0.89340714  0.69376072  0.881657
  0.61565238  0.28072941  0.58632263  0.69444955  0.52086002  0.73448296
  0.6204662   0.89993481  0.91820535  0.64305073  0.8212536   0.47232761
  0.63018725  0.70648045  0.55402032  0.61081349  0.76071646  0.55880954
  0.89879278  0.92212845  0.51663191  0.52595743  0.51204975  0.41743989
  0.28334313  0.77930033  0.66613246  0.9289719   0.50490239  0.61340298
  0.99976097  0.60434804  0.7976232   0.581767    0.39182452  0.28885925
  0.5012527   0.36570466  0.40180194  0.48332077  0.39019398  0.38637182
  0.48649568  0.31469579  0.25166596 -1.         -0.28772366  0.45250388
  0.38148479  0.23156596  0.01523917  0.02591259  0.39621295  0.63755037
  0.31321945  0.04662377 -0.48825312 -0.11401002  0.40071304  0.15751801
  0.43483379 -0.12992906  0.28841189 -0.54030524  0.00505237 -0.29211125
  0.44830638  0.0474463   0.03882807 -0.56736846 -0.30475405 -0.55445661
 -0.13458619 -0.96944702  0.05187568 -0.96782389 -0.29601065 -0.58009339
 -0.29448376 -0.52361343 -0.15322294  0.00725578 -0.04383247 -0.93884917
  0.08068082 -0.55422932 -0.29878109 -0.97724999 -0.6064175  -0.5788645 ]",0
204,O,4,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.98859014 -1.         -1.         -1.         -1.
 -1.         -1.          1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",0
284,Fe,4,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
25,N,2,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
67,He,2,"[ 0.14075505  0.32259196  0.29750947 -0.07615558  0.04078696  0.16695092
  0.28112323 -0.10140124  0.24162122 -0.30521999  0.15148689 -0.4038859
 -0.39579224 -0.08979534 -0.26842564  0.32061708  0.01979796 -0.05001261
  0.13124631  0.09497864 -0.35752399  0.56508716 -0.37700521  0.22636799
  0.02589642 -0.09982225  0.32648061 -0.05891489  0.06069528  0.42050428
  0.06498657  0.20487451  0.17801116  0.0513013   0.07002669 -0.08221382
 -0.29942261  0.43603533  0.20647775  0.08356547  0.11358067  0.39997139
  0.06588746  0.21055621 -0.30195748 -1.          0.31550179 -0.04972099
 -0.02828549  0.12496294 -0.26662615  0.05550627  0.39487302 -0.66721421
 -0.22600054  0.29487801  0.49032611 -0.01257292  0.27877666  0.29673334
  0.75835529  0.3002083   0.22680037  0.73459203  0.5205753   0.40403883
  0.63631294  0.5261408   0.85207704  0.68710386  0.49350936  0.52488953
  0.38872667  1.          0.68147348 -0.04350942  0.39943368  0.31400345
  0.00689631  0.52061461  0.1367727   0.4748217   0.09382493  0.01168311
  0.01106905  0.09992014 -0.3387442   0.09796534  0.18298221 -0.02757354
  0.04605909  0.85385998  0.54767262  0.63355161  0.39990419  0.30860406]",0
267,He,2,"[-8.81026614e-01 -8.88778231e-01 -1.00000000e+00 -9.96766844e-01
 -2.63298498e-01  4.72769063e-01  4.85229860e-01  4.62920035e-01
  5.79918296e-01  5.98450755e-01  6.08305700e-01  8.29001185e-01
  8.43025200e-01  7.41884902e-01  7.92587182e-01  8.81623858e-01
  1.00000000e+00  9.91046659e-01  7.66171137e-01  7.45925739e-01
  7.29866842e-01  6.88011947e-01  6.40026421e-01  6.71638788e-01
  6.21137053e-01  5.71949940e-01  5.41260510e-01  5.78677074e-01
  5.05006039e-01  5.60643558e-01  4.49277327e-01  3.97774816e-01
  2.83309216e-01  1.80583748e-01 -9.34184854e-04 -2.36696308e-02
 -1.20959683e-01 -2.11621710e-01 -1.94231723e-01 -2.11289988e-01
 -2.11871887e-01 -2.35109385e-01 -2.88345728e-01 -3.92207515e-01
 -2.63765775e-01 -3.74623611e-01 -3.14341534e-01 -2.74309474e-01]",1
217,C,3,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.49116615  0.49966952  0.59253465  0.92267104  0.99823983
  0.92861031  1.          0.97992112  0.89669296  0.89894914  0.88236244
  0.91207173  0.76396563  0.74495453  0.77752012  0.71590443  0.69078179
  0.69448395  0.60149212  0.59514559  0.6834851   0.71470069  0.59623933
  0.49594698  0.59505179  0.58972409  0.58822173  0.57812674 -1.
  0.49897336  0.49746821 -1.         -1.         -1.         -1.
 -1.          0.49676022 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.48946141  0.58567645 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.49574252
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.48740824 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.48762613 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
299,O,4,"[ 0.51513788  0.57177009  0.53839281  0.40105033  0.40150679  0.40529132
  0.60701712  0.67551385  0.69951416  0.79326593  0.81207432  0.83597236
  0.87926739  0.85082907  0.86676625  0.90355951  0.89505605  0.91240546
  0.89723616  0.91975722  0.91241699  0.93609764  0.95052389  0.99781528
  0.98384096  1.          0.98207074  0.95194942  0.96713977  0.94741954
  0.93446005  0.93920334  0.93529401  0.92519172  0.89868994  0.87761918
  0.86410862  0.81932487  0.83537142  0.8323132   0.83270514  0.81650964
  0.80392783  0.76958043  0.77675172  0.73881311  0.72597526  0.76406227
  0.77188318  0.71596564  0.70013349  0.77920403  0.79936461  0.7775173
  0.72228788  0.74737176  0.72903741  0.71455379  0.67753806  0.63793573
  0.63974798  0.66898418  0.67776968  0.6143533   0.64427586  0.57589493
  0.55751274  0.61379245  0.40788835  0.63359555  0.55628879  0.60186757
  0.61472151  0.58752098  0.39722876  0.5547604   0.58705861  0.44981205
  0.48610372  0.58696207  0.48600164  0.48400137  0.51385811  0.55487736
  0.53398229  0.40295481  0.45039746  0.45043639  0.38719424  0.30968782
  0.30955689  0.53426385  0.40221783  0.3984832   0.39830371  0.44715281
  0.44935154  0.44936135  0.48353342  0.44678252  0.44734253  0.48664916
  0.51170905 -1.          0.50552079  0.44702284  0.31624838  0.50907495
  0.44935154  0.31608378  0.4013302   0.48494671  0.31558865  0.44624009
  0.44669228  0.30807037  0.30789139  0.30789139  0.3079161   0.31490203
  0.30632515  0.47885413 -1.          0.39664939  0.30747381  0.39685383
 -1.          0.31486118  0.30756054 -1.          0.44525971  0.30702993
  0.3926076  -1.          0.30689615  0.39252985  0.30571693  0.31440213
 -1.          0.31414995  0.39963254  0.4472527   0.31394137 -1.
 -1.          0.30658445 -1.          0.39579794 -1.         -1.
  0.31372949 -1.         -1.          0.30629387 -1.         -1.
  0.31360277  0.31347593  0.39554773 -1.         -1.         -1.
  0.30620625  0.3061812  -1.          0.39541863 -1.         -1.
 -1.          0.31356149 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.30598065  0.31345526  0.31313901
 -1.         -1.         -1.          0.30613736  0.38681521 -1.
 -1.         -1.          0.31318043 -1.         -1.         -1.
 -1.          0.39519049 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.30575778
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]",1
