Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
3,2014,2014,8.833333333333334,20.75,20.0,18.0,6,[]
12,2014,2014,59.458333333333336,74.83333333333333,11.0,20.0,6,[]
18,2014,2014,109.625,117.875,15.0,21.0,4,"['Si', 'Fe']"
29,2014,2014,250.75,254.08333333333334,18.0,2.0,4,"['Si', 'Fe']"
30,2014,2014,255.04166666666666,263.4166550925926,1.0,9.999722222222221,4,"['Si', 'N']"
40,2014,2014,306.0,312.7916550925926,0.0,18.999722222222225,5,['Fe']
81,2015,2015,169.7916550925926,172.33332175925926,18.999722222222225,7.999722222222222,4,"['Si', 'Fe']"
82,2015,2015,173.12498842592595,177.04166666666666,2.999722222222222,1.0,5,['Fe']
83,2015,2015,177.4166550925926,188.0416550925926,9.999722222222221,0.9997222222222222,4,"['Si', 'Fe']"
144,2017,2017,195.6666550925926,202.20833333333334,15.999722222222221,5.0,5,['Fe']
150,2017,2017,250.45833333333334,253.70833333333334,11.0,17.0,6,[]
151,2017,2017,254.33333333333334,261.1249884259259,8.0,2.999722222222222,6,[]
217,2022,2022,239.41666666666666,245.6666550925926,10.0,15.999722222222221,5,['Fe']
239,2023,2023,57.166666666666664,62.875,4.0,21.0,4,"['Si', 'Fe']"
251,2023,2023,128.66666666666666,136.87498842592595,16.0,20.999722222222225,6,[]
259,2023,2023,199.20833333333334,205.0,5.0,0.0,5,['Fe']
262,2023,2023,210.24998842592595,215.74998842592595,5.999722222222222,17.999722222222225,5,['Fe']
264,2023,2023,217.91666666666666,220.04166666666666,22.0,1.0,4,"['Si', 'Fe']"
265,2023,2023,220.45833333333334,235.24998842592595,11.0,5.999722222222222,5,['Fe']
267,2023,2023,244.33333333333334,246.5416550925926,8.0,12.999722222222221,4,"['Si', 'Fe']"
295,2024,2024,29.255914351851853,32.95412037037037,6.141944444444444,22.898888888888887,4,"['Si', 'Fe']"
298,2024,2024,41.09847222222223,43.46697916666667,2.3633333333333333,11.2075,6,[]
299,2024,2024,43.7162962962963,52.982569444444444,17.191111111111113,23.581666666666667,6,[]
302,2024,2024,75.7119675925926,81.94489583333333,17.08722222222222,22.677500000000002,4,"['Si', 'Fe']"
303,2024,2024,83.73166666666665,98.15049768518519,17.560000000000002,3.6119444444444446,6,[]
308,2024,2024,131.1434375,134.34300925925928,3.4425000000000003,8.232222222222223,6,[]
309,2024,2024,134.67542824074073,140.9499074074074,16.210277777777776,22.797777777777778,6,[]
313,2024,2024,159.8564351851852,163.13910879629628,20.554444444444446,3.338611111111111,6,[]
