Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
1,2014,2014,1.0,4.958333333333333,0.0,23.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
3,2014,2014,8.833333333333334,20.75,20.0,18.0,6,[]
4,2014,2014,21.33332175925926,25.041666666666668,7.999722222222222,1.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
5,2014,2014,25.541655092592592,29.291666666666668,12.999722222222221,7.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
7,2014,2014,35.833333333333336,39.49998842592593,20.0,11.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
9,2014,2014,46.458333333333336,50.37498842592593,11.0,8.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
10,2014,2014,50.458321759259256,53.16665509259259,10.999722222222221,3.999722222222222,2,"['C', 'Fe', 'N', 'Si']"
11,2014,2014,53.333333333333336,55.875,8.0,21.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
12,2014,2014,59.458333333333336,74.83333333333333,11.0,20.0,6,[]
15,2014,2014,84.375,93.12498842592592,9.0,2.999722222222222,3,"['Fe', 'N', 'Si']"
17,2014,2014,97.49998842592592,105.79166666666667,11.999722222222221,19.0,3,"['Fe', 'N', 'Si']"
18,2014,2014,109.625,117.875,15.0,21.0,4,"['Fe', 'Si']"
20,2014,2014,128.16666666666666,132.29166666666666,4.0,7.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
21,2014,2014,157.49998842592595,161.91666666666666,11.999722222222221,22.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
23,2014,2014,164.1666550925926,167.04166666666666,3.999722222222222,1.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
24,2014,2014,167.45833333333334,170.375,11.0,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
25,2014,2014,192.83333333333334,195.58332175925926,20.0,13.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
26,2014,2014,234.70832175925926,237.66666666666666,16.999722222222225,16.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
27,2014,2014,238.16666666666666,241.9166550925926,4.0,21.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
29,2014,2014,250.75,254.08333333333334,18.0,2.0,4,"['Fe', 'Si']"
30,2014,2014,255.04166666666666,263.4166550925926,1.0,9.999722222222221,4,"['N', 'Si']"
31,2014,2014,265.375,269.0,9.0,0.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
33,2014,2014,273.2916666666667,277.4166666666667,7.0,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
37,2014,2014,286.0,289.7499884259259,0.0,17.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
38,2014,2014,292.3333333333333,294.7916666666667,8.0,19.0,2,"['C', 'Fe', 'N', 'Si']"
39,2014,2014,294.9583333333333,304.45832175925926,23.0,10.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
40,2014,2014,306.0,312.7916550925926,0.0,18.999722222222225,5,['Fe']
41,2014,2014,314.3749884259259,318.58332175925926,8.999722222222221,13.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
42,2014,2014,327.7916550925926,329.875,18.999722222222225,21.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
44,2014,2014,335.2083333333333,337.5,5.0,12.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
45,2014,2014,337.7916550925926,343.2916666666667,18.999722222222225,7.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
50,2014,2014,355.8333333333333,359.9166550925926,20.0,21.999722222222225,3,"['Fe', 'N', 'Si']"
52,2014,2015,364.875,11.166655092592594,21.0,3.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
53,2015,2015,19.749988425925924,22.45832175925926,17.999722222222225,10.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
54,2015,2015,30.333333333333332,34.0,8.0,0.0,3,"['Fe', 'N', 'Si']"
55,2015,2015,35.99998842592593,38.37498842592593,23.999722222222225,8.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
56,2015,2015,38.666666666666664,44.0,16.0,0.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
58,2015,2015,46.625,49.49998842592593,15.0,11.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
61,2015,2015,58.5,61.708321759259256,12.0,16.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
64,2015,2015,70.79166666666667,74.24998842592592,19.0,5.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
65,2015,2015,75.37498842592592,81.41665509259259,8.999722222222221,9.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
67,2015,2015,84.04166666666667,88.95833333333333,1.0,23.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
68,2015,2015,89.91666666666667,92.74998842592592,22.0,17.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
69,2015,2015,92.875,96.45832175925926,21.0,10.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
70,2015,2015,96.87498842592592,99.58332175925926,20.999722222222225,13.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
71,2015,2015,103.37498842592592,106.91666666666667,8.999722222222221,22.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
72,2015,2015,109.33332175925926,111.79165509259259,7.999722222222222,18.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
74,2015,2015,116.58333333333333,126.95832175925926,14.0,22.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
80,2015,2015,162.08332175925926,166.5416550925926,1.9997222222222222,12.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
81,2015,2015,169.7916550925926,172.33332175925926,18.999722222222225,7.999722222222222,4,"['Fe', 'Si']"
